vocab_size,vocab_construct,vocab_init,pre-tok,segment,Avg,arc_easy,copa,mktg,mathqa,piqa,qa4mre,race,sciq,sociology,wsc273
32768,sage,initunigram,firstspace,greedy,48.4,52,74,27.8,22.7,65.7,29.6,28.9,88.2,32.3,63
40960,sage,initbpe,firstspace,greedy,49.2,50.8,70,29.9,23.2,66.4,28.9,30.2,89.5,34.8,67.8
40960,sage,initngram,firstspacedigit,greedy,46.9,48.4,67,30.3,22.6,64,30.6,28.1,85.8,32.3,59.7
40960,sage,initngram,firstspace,greedy,48.5,49.8,68,32.9,22.8,65.4,29.2,30,88.4,33.3,65.2
40960,sage,initunigram,firstspace,greedy,46.9,51.7,65,28.6,23.9,65.2,26.8,29.1,86.9,31.3,60.1
49152,sage,initbpe,firstspace,greedy,48.8,51.9,71,29.9,22.6,65.5,29.6,31.2,87.5,32.3,65.9
49152,sage,initngram,firstspacedigit,greedy,47.2,46.6,67,31.2,22.7,63.4,29.2,28.8,86.4,34.3,61.9
49152,sage,initngram,firstspace,greedy,48,49.7,66,31.6,21.6,65.7,28.8,30.2,87.5,33.8,64.5
49152,sage,initunigram,firstspace,greedy,47.8,49.7,68,29.9,23.5,64.6,28.9,31.4,87,29.9,65.6
32768,unigram,,firstspace,likelihood,49.2,50.7,73,30.8,23.1,66.3,31,30.2,86.4,31.8,68.5
32768,unigram,,firstspace,greedy,47.9,50.3,68,31.2,23.1,65.2,28.9,30.6,86.9,31.8,62.6
32768,unigram,,firstspace,pathpiecel,43.6,41.2,57,31.6,22,60.6,29.9,27.5,74.6,26.4,65.6
40960,unigram,,firstspace,likelihood,49.1,51.4,71,32.1,23.4,66.1,29.6,30.8,86.4,32.8,67.8
40960,unigram,,firstspace,greedy,48.5,49.9,64,30.3,23.3,65.7,32.4,29.6,86.7,32.8,70.3
40960,unigram,,firstspace,pathpiecel,43.1,40.5,56,28.6,23,60.3,30.3,27.4,75,27.4,62.3
49152,unigram,,firstspace,likelihood,48.8,52.3,69,35,23.9,66.1,27.5,30.3,89.1,28.9,65.9
49152,unigram,,firstspace,greedy,48.6,51.6,68,32.1,24.4,65.7,32.4,29.5,86.7,32.3,63.7
49152,unigram,,firstspace,pathpiecel,44,39.4,57,30.3,23.3,61.2,33.1,26,74.5,27.9,67
32768,wordpiece,,firstspace,greedy,48.5,52.5,64,32.5,23.9,65.6,32,30.7,88.5,27.9,67.4
40960,wordpiece,,firstspace,greedy,49.1,52.3,70,28.6,23.7,66.5,31,30.3,87.7,32.8,68.1
49152,wordpiece,,firstspace,greedy,48.8,52.6,68,28.2,23.5,66.2,29.2,31.1,88,34.3,66.7
